adnem	adnet+V+TV+Der/NomAct+N+Sg+Nom
ådåsássje	ådås+A+Cmp/SgNom+Cmp#ássje+N+Sg+Nom

åhtsåládde	åhtså+N+Cmp/SgNom+Cmp#ládde+N+Sg+Nom

ålggorijkapolitihkka	ålggorijkka+N+Cmp/SgGen+Cmp#politihkka+N+Sg+Nom

årddårádje	årddå+N+Cmp/SgNom+Cmp#rádje+N+Sg+Nom

åvddådilljá	åvddå+N+Cmp/SgNom+Cmp#dilljá+N+Sg+Nom

åvddånahttemperspektijvva	åvddånahttem+N+Cmp/SgNom+Cmp#perspektijvva+N+Sg+Nom

åvddåváttsos	åvddå+N+Cmp/SgNom+Cmp#váttsos+N+Sg+Nom

æjgátgæsos	æjgát+N+Cmp/SgNom+Cmp#gæsos+N+Sg+Nom

hábmediddje	hábmedit+V+TV+Der/NomAg+N+Sg+Nom

tjuohppe	tjuohppat+V+TV+Der/NomAg+N+Sg+Nom

tjuojgge	tjuojggat+V+TV+Der/NomAg+N+Sg+Nom

noajdástalle	noajdástallat+V+IV+Der/NomAg+N+Sg+Nom

oaggo	oaggot+V+TV+Der/NomAg+N+Sg+Nom


akrobáhtta	akrobáhtta	+?
alármma	alármma	+?
bachelor	bachelor	+?
betoaŋŋa	betoaŋŋa	+?
droassja	droassja	+?
droassjavuoddje	droassjavuoddje	+?
gerilljá	gerilljá	+?
kartografijja	kartografijja	+?
katedrálla	katedrálla	+?
liŋŋka	liŋŋka	+?
lájbbár	lájbbár	+?
låhkåmtesta	låhkåmtesta	+?
meängiella	meängiella	+?
mihtok	mihtok	+?
morfofoniebma	morfofoniebma	+?
nomenklatuvrra	nomenklatuvrra	+?
skuhtar	skuhtar	+?
tjævrránáhkke	tjævrránáhkke	+?
váffal	váffal	+?

